run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,beta_applied,s_applied
2,HU12,0.75,0.098112,1.0664,0.656,0.492,0.3962,1.24,0.635,0.0648,0.009911,0.098476,1.0704,1.0,0
3,EC40,0.2,0.098476,1.0704,1.6164,0.3233,0.2497,1.29,0.4138,0.0422,0.006484,0.099885,1.0857,1.0,0
4,HU12,1.0,0.099885,1.0857,0.6929,0.6929,0.5282,1.31,0.8664,0.0884,0.013774,0.102147,1.1103,1.0,0
5,HU12,1.25,0.102147,1.1103,0.7459,0.9323,0.6603,1.41,1.108,0.113,0.018003,0.101115,1.0991,1.0,0
6,EC40,0.3,0.101115,1.0991,1.7291,0.5187,0.3746,1.38,0.6331,0.0646,0.010187,0.099661,1.0833,1.0,0
7,HU12,1.5,0.099661,1.0833,0.6882,1.0324,0.7924,1.3,1.2946,0.132,0.020534,0.098702,1.0728,1.0,0
8,EC40,0.4,0.098702,1.0728,1.6237,0.6495,0.4994,1.3,0.8276,0.0844,0.012998,0.096715,1.0513,1.0,0
9,HU12,1.75,0.096715,1.0513,0.6269,1.097,0.9244,1.19,1.4743,0.1503,0.022661,0.101958,1.1082,1.0,0
10,HU12,2.0,0.101958,1.1082,0.7414,1.4828,1.0565,1.4,1.7699,0.1805,0.028708,0.112544,1.2233,1.0,0
11,EC40,0.5,0.112544,1.2233,2.2282,1.1141,0.6243,1.78,1.0964,0.1118,0.019627,0.106388,1.1564,1.0,0
12,HU12,2.25,0.106388,1.1564,0.8435,1.8979,1.1885,1.6,2.0751,0.2116,0.035134,0.110772,1.204,1.0,0
13,HU12,2.5,0.110772,1.204,0.9406,2.3514,1.3206,1.78,2.3684,0.2415,0.041597,0.114277,1.2421,1.0,0
14,HU12,2.75,0.114277,1.2421,1.021,2.8079,1.4527,1.93,2.6542,0.2706,0.048237,0.129276,1.4052,1.0,0
15,HU12,3.0,0.129276,1.4052,1.2903,3.871,1.5847,2.44,2.8549,0.2911,0.058563,0.129843,1.4113,1.0,0
16,HU12,3.5,0.129843,1.4113,1.2993,4.5477,1.8488,2.46,3.3188,0.3384,0.068158,0.125423,1.3633,1.0,0
17,HU12,4.0,0.125423,1.3633,1.2292,4.9166,2.113,2.33,3.854,0.393,0.076849,0.121876,1.3247,1.0,0
18,HU12,4.5,0.121876,1.3247,1.1719,5.2736,2.3771,2.22,4.3761,0.4462,0.08486,0.122405,1.3305,1.0,0
19,HU12,5.0,0.122405,1.3305,1.1805,5.9023,2.6412,2.23,4.8523,0.4948,0.094484,0.121399,1.3196,1.0,0
20,HU12,5.5,0.121399,1.3196,1.1642,6.403,2.9053,2.2,5.3643,0.547,0.103627,0.119393,1.2977,1.0,0
21,HU12,6.0,0.119393,1.2977,1.1289,6.7736,3.1694,2.14,5.8698,0.5985,0.111533,0.11943,1.2982,1.0,0
22,FR76,1.0,0.11943,1.2982,2.0795,2.0795,1.299,1.6,1.8011,0.1837,0.034235,0.122486,1.3314,1.0,0
23,FR76,1.5,0.122486,1.3314,2.3661,3.5491,1.9485,1.82,2.9139,0.2971,0.056775,0.121867,1.3246,1.0,0
24,FR76,1.75,0.121867,1.3246,2.3022,4.0288,2.2732,1.77,3.3438,0.341,0.064836,0.122074,1.3269,1.0,0
25,FR76,2.0,0.122074,1.3269,2.3235,4.6471,2.598,1.79,3.8422,0.3918,0.074623,0.122307,1.3294,1.0,0
